version,2.2.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Rajasthan Royals
info,gender,male
info,season,2026
info,date,2026/03/30
info,event,Indian Premier League
info,match_number,3
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,N Burger
info,umpire,HDPK Dharmasena
info,umpire,M Krishnadas
info,reserve_umpire,K Swaroopanand
info,tv_umpire,VK Sharma
info,match_referee,V Narayan Kutty
info,winner,Rajasthan Royals
info,winner_wickets,8
info,player,Chennai Super Kings,SV Samson
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,A Mhatre
info,player,Chennai Super Kings,MW Short
info,player,Chennai Super Kings,SN Khan
info,player,Chennai Super Kings,Kartik Sharma
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,J Overton
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,MJ Henry
info,player,Chennai Super Kings,A Kamboj
info,player,Chennai Super Kings,KK Ahmed
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,N Burger
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Rajasthan Royals,Brijesh Sharma
info,registry,people,A Kamboj,fcc21ace
info,registry,people,A Mhatre,b2b4f545
info,registry,people,Brijesh Sharma,133bbd61
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,J Overton,59559bc2
info,registry,people,JC Archer,5574750c
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KK Ahmed,a2f46292
info,registry,people,Kartik Sharma,7b679de5
info,registry,people,M Krishnadas,e298c588
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MW Short,a90e53ec
info,registry,people,N Burger,465aa633
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Parag,04a418e8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dube,a4e37e47
info,registry,people,SN Khan,f088b960
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Suryavanshi,470f446b
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
