version,2.2.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Royal Challengers Bengaluru
info,gender,male
info,season,2024
info,date,2024/04/28
info,event,Indian Premier League
info,match_number,45
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,WG Jacks
info,umpire,Nitin Menon
info,umpire,VK Sharma
info,reserve_umpire,Bhavesh Patel
info,tv_umpire,VA Kulkarni
info,match_referee,J Srinath
info,winner,Royal Challengers Bengaluru
info,winner_wickets,9
info,player,Gujarat Titans,S Sandeep Warrier
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,Azmatullah Omarzai
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,Noor Ahmad
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,F du Plessis
info,player,Royal Challengers Bengaluru,WG Jacks
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,GJ Maxwell
info,player,Royal Challengers Bengaluru,C Green
info,player,Royal Challengers Bengaluru,KD Karthik
info,player,Royal Challengers Bengaluru,KV Sharma
info,player,Royal Challengers Bengaluru,Mohammed Siraj
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Royal Challengers Bengaluru,Swapnil Singh
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,C Green,eaa76d3c
info,registry,people,DA Miller,d67d5f00
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,J Srinath,bad31fac
info,registry,people,KD Karthik,c03f1114
info,registry,people,KV Sharma,119678fd
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MM Sharma,759ac88f
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RM Patidar,c740ea83
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Sandeep Warrier,cdc6bdba
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Swapnil Singh,983f2f61
info,registry,people,V Kohli,ba607b88
info,registry,people,V Shankar,0994d0ae
info,registry,people,VA Kulkarni,8fe0c4f8
info,registry,people,VK Sharma,a7a49df4
info,registry,people,WG Jacks,9caf69a1
info,registry,people,WP Saha,fe11caa6
info,registry,people,Yash Dayal,7210d461
