version,2.2.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Chennai Super Kings
info,gender,male
info,season,2026
info,date,2026/05/05
info,event,Indian Premier League
info,match_number,48
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Delhi Capitals
info,toss_decision,bat
info,player_of_match,SV Samson
info,umpire,KM Gandhi
info,umpire,TM Srivastava
info,reserve_umpire,Anish Sahasrabudhe
info,tv_umpire,Nitin Menon
info,match_referee,Amit Sharma
info,winner,Chennai Super Kings
info,winner_wickets,8
info,player,Delhi Capitals,P Nissanka
info,player,Delhi Capitals,KL Rahul
info,player,Delhi Capitals,N Rana
info,player,Delhi Capitals,KK Nair
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,Sameer Rizvi
info,player,Delhi Capitals,Ashutosh Sharma
info,player,Delhi Capitals,MA Starc
info,player,Delhi Capitals,L Ngidi
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,T Natarajan
info,player,Chennai Super Kings,SV Samson
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,Urvil Patel
info,player,Chennai Super Kings,Kartik Sharma
info,player,Chennai Super Kings,D Brevis
info,player,Chennai Super Kings,J Overton
info,player,Chennai Super Kings,AJ Hosein
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,A Kamboj
info,player,Chennai Super Kings,Mukesh Choudhary
info,player,Chennai Super Kings,Gurjapneet Singh
info,registry,people,A Kamboj,fcc21ace
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AR Patel,2e171977
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,D Brevis,844e79d1
info,registry,people,Gurjapneet Singh,cc61ee8f
info,registry,people,J Overton,59559bc2
info,registry,people,KK Nair,944533a5
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KM Gandhi,a9421c64
info,registry,people,Kartik Sharma,7b679de5
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,L Ngidi,f834dcfc
info,registry,people,MA Starc,3fb19989
info,registry,people,Mukesh Choudhary,765a4731
info,registry,people,N Rana,fb2d1dda
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Nissanka,8ee36b18
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sameer Rizvi,f89d3b11
info,registry,people,T Natarajan,ce794613
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,Urvil Patel,cf59b3f0
