version,2.2.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Gujarat Titans
info,gender,male
info,season,2025
info,date,2025/05/25
info,event,Indian Premier League
info,match_number,67
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Chennai Super Kings
info,toss_decision,bat
info,player_of_match,D Brevis
info,umpire,KM Gandhi
info,umpire,KN Ananthapadmanabhan
info,reserve_umpire,M Krishnadas
info,tv_umpire,Nitin Menon
info,match_referee,Amit Sharma
info,winner,Chennai Super Kings
info,winner_runs,83
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,A Mhatre
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,Urvil Patel
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,D Brevis
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,DJ Hooda
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,A Kamboj
info,player,Chennai Super Kings,KK Ahmed
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,SE Rutherford
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,G Coetzee
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Mohammed Siraj
info,registry,people,A Kamboj,fcc21ace
info,registry,people,A Mhatre,b2b4f545
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,Arshad Khan,12314277
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,D Brevis,844e79d1
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DP Conway,df5a6881
info,registry,people,G Coetzee,3204c99f
info,registry,people,JC Buttler,99b75528
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KM Gandhi,a9421c64
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Dube,a4e37e47
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Urvil Patel,cf59b3f0
