version,2.2.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Kolkata Knight Riders
info,gender,male
info,season,2025
info,date,2025/04/08
info,event,Indian Premier League
info,match_number,21
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Kolkata Knight Riders
info,toss_decision,field
info,player_of_match,N Pooran
info,umpire,AT Holdstock
info,umpire,A Totre
info,reserve_umpire,Anish Sahasrabudhe
info,tv_umpire,R Pandit
info,match_referee,Shakti Singh
info,winner,Lucknow Super Giants
info,winner_runs,4
info,player,Lucknow Super Giants,AK Markram
info,player,Lucknow Super Giants,MR Marsh
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,Abdul Samad
info,player,Lucknow Super Giants,DA Miller
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,SN Thakur
info,player,Lucknow Super Giants,Akash Deep
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,DS Rathi
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Kolkata Knight Riders,CV Varun
info,player,Kolkata Knight Riders,Q de Kock
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,SH Johnson
info,registry,people,A Badoni,872b03f7
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AD Russell,bbd41817
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Akash Deep,0a67aec0
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,Avesh Khan,eef2536f
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,DA Miller,d67d5f00
info,registry,people,DS Rathi,13fc5c6d
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,N Pooran,3241e3fd
info,registry,people,Q de Kock,372455c4
info,registry,people,R Pandit,8a604384
info,registry,people,RK Singh,0a509d6b
info,registry,people,RR Pant,919a3be2
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,Shakti Singh,eb90d319
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
