version,2.2.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Lucknow Super Giants
info,gender,male
info,season,2025
info,date,2025/04/12
info,event,Indian Premier League
info,match_number,26
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Lucknow Super Giants
info,toss_decision,field
info,player_of_match,AK Markram
info,umpire,K Swaroopanand
info,umpire,UV Gandhe
info,reserve_umpire,AK Argal
info,tv_umpire,MA Gough
info,match_referee,V Narayan Kutty
info,winner,Lucknow Super Giants
info,winner_wickets,6
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,Washington Sundar
info,player,Gujarat Titans,SE Rutherford
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Mohammed Siraj
info,player,Lucknow Super Giants,DS Rathi
info,player,Lucknow Super Giants,AK Markram
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,DA Miller
info,player,Lucknow Super Giants,Abdul Samad
info,player,Lucknow Super Giants,Himmat Singh
info,player,Lucknow Super Giants,SN Thakur
info,player,Lucknow Super Giants,Akash Deep
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,Ravi Bishnoi
info,registry,people,A Badoni,872b03f7
info,registry,people,AK Argal,0ee78cf3
info,registry,people,AK Markram,6a26221c
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Akash Deep,0a67aec0
info,registry,people,Arshad Khan,12314277
info,registry,people,Avesh Khan,eef2536f
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,DA Miller,d67d5f00
info,registry,people,DS Rathi,13fc5c6d
info,registry,people,Himmat Singh,ebcfef83
info,registry,people,JC Buttler,99b75528
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MA Gough,76752ac8
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Pooran,3241e3fd
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RR Pant,919a3be2
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SN Thakur,1abb78f8
info,registry,people,Shubman Gill,b4b99816
info,registry,people,UV Gandhe,43dd4011
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,Washington Sundar,f19ccfad
