version,2.2.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Gujarat Titans
info,gender,male
info,season,2023
info,date,2023/05/12
info,event,Indian Premier League
info,match_number,57
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,SA Yadav
info,umpire,Nitin Menon
info,umpire,Tapan Sharma
info,reserve_umpire,VM Dhokre
info,tv_umpire,Vinod Seshan
info,match_referee,RS Sodhi
info,winner,Mumbai Indians
info,winner_runs,27
info,player,Mumbai Indians,Akash Madhwal
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,Vishnu Vinod
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,C Green
info,player,Mumbai Indians,CJ Jordan
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,JP Behrendorff
info,player,Mumbai Indians,K Kartikeya
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,AS Joseph
info,player,Gujarat Titans,Mohammed Shami
info,registry,people,A Manohar,0890552f
info,registry,people,AS Joseph,b0946605
info,registry,people,Akash Madhwal,4bd09374
info,registry,people,C Green,eaa76d3c
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DA Miller,d67d5f00
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JP Behrendorff,4933f499
info,registry,people,K Kartikeya,f6d8a7ab
info,registry,people,MM Sharma,759ac88f
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Wadhera,d1a60072
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RG Sharma,740742ef
info,registry,people,RS Sodhi,a3ecf01f
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SA Yadav,271f83cd
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TH David,f1f99156
info,registry,people,Tapan Sharma,b9aa2b6e
info,registry,people,V Shankar,0994d0ae
info,registry,people,VM Dhokre,67df71c9
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,Vishnu Vinod,0494fa6e
info,registry,people,WP Saha,fe11caa6
