version,2.2.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Sunrisers Hyderabad
info,gender,male
info,season,2025
info,date,2025/05/19
info,event,Indian Premier League
info,match_number,61
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,field
info,player_of_match,Abhishek Sharma
info,umpire,K Swaroopanand
info,umpire,MA Gough
info,reserve_umpire,Abhijit Bhattacharya
info,tv_umpire,VK Sharma
info,match_referee,P Dharmani
info,winner,Sunrisers Hyderabad
info,winner_wickets,6
info,player,Lucknow Super Giants,MR Marsh
info,player,Lucknow Super Giants,AK Markram
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,Abdul Samad
info,player,Lucknow Super Giants,SN Thakur
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Akash Deep
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,DS Rathi
info,player,Lucknow Super Giants,W O'Rourke
info,player,Sunrisers Hyderabad,Zeeshan Ansari
info,player,Sunrisers Hyderabad,Atharva Taide
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,Ishan Kishan
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,PHKD Mendis
info,player,Sunrisers Hyderabad,Aniket Verma
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,HV Patel
info,player,Sunrisers Hyderabad,Harsh Dubey
info,player,Sunrisers Hyderabad,E Malinga
info,registry,people,A Badoni,872b03f7
info,registry,people,AK Markram,6a26221c
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Akash Deep,0a67aec0
info,registry,people,Aniket Verma,a3b0600d
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,Avesh Khan,eef2536f
info,registry,people,DS Rathi,13fc5c6d
info,registry,people,E Malinga,5750bcb4
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harsh Dubey,25228673
info,registry,people,Ishan Kishan,752f7486
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,MA Gough,76752ac8
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,N Pooran,3241e3fd
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,P Dharmani,eaa90ab4
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PJ Cummins,ded9240e
info,registry,people,RR Pant,919a3be2
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SN Thakur,1abb78f8
info,registry,people,VK Sharma,a7a49df4
info,registry,people,W O'Rourke,cb9b8664
info,registry,people,Zeeshan Ansari,36619795
